a/a0	E(CA-DMRG d=60)	E(CA-DMRG d=80)	E(DMRG d=60)	E(DMRG d=80)	d(CA-DMRG d=60)	d(CA-DMRG d=80)	d(DMRG d=60)	d(DMRG d=80)	E(FCI)	E(RHF)
0.6	-105.279218764676	-105.279218928321	-105.279157091101	-105.279209173638	1.63297272592899E-7	3.47142758982955E-10	6.18368721063689E-5	9.75433590610919E-6	-105.279218927973	-105.217233828857
0.65	-106.05028161549	-106.050281857576	-106.050173941209	-106.050268394554	2.4191606939894E-7	1.69961822393816E-10	1.07916197066515E-4	1.3462851939039E-5	-106.050281857406	-105.978758973049
0.7	-106.599476815582	-106.599476866195	-106.599307836333	-106.599457499039	5.0438558218957E-8	1.74594561030972E-10	1.69029686730937E-4	1.93669808083996E-5	-106.59947686602	-106.518002904747
0.75	-106.986105902334	-106.986107668502	-106.985879274953	-106.986080178439	1.76594446088529E-6	2.23252527575823E-10	2.28393325784282E-4	2.74898403063162E-5	-106.986107668279	-106.894015004841
0.8	-107.253543411947	-107.253543478335	-107.25324890453	-107.253504332189	6.61981403027312E-8	1.89089632840478E-10	2.94573615263971E-4	3.91459567765651E-5	-107.253543478145	-107.149928223021
0.85	-107.433792888089	-107.433792899635	-107.433483612502	-107.433734142298	1.1329944982208E-8	2.15578666029614E-10	3.09286917627105E-4	5.87571218773064E-5	-107.433792899419	-107.317585022256
0.9	-107.550621239199	-107.550621258385	-107.55020483628	-107.550548336559	1.900116330944E-8	1.849969066825E-10	4.16421919595678E-4	7.29216404806721E-5	-107.5506212582	-107.420646007756
0.95	-107.621711484019	-107.621711594128	-107.621272972043	-107.621626319352	1.099288340356E-7	1.80619963430217E-10	4.38621904464753E-4	8.52745960173706E-5	-107.621711593948	-107.476734861191
1	-107.660206418666	-107.660206420251	-107.659674911851	-107.660121599732	1.38857103593182E-9	1.96138216779218E-10	5.31508204005604E-4	8.48203227690192E-5	-107.660206420055	-107.498967544584
1.05	-107.675839484895	-107.675839487458	-107.675223125755	-107.675739914434	2.36090613725537E-9	2.02248884306755E-10	6.16361500448192E-4	9.95728217105807E-5	-107.675839487256	-107.497074766258
1.1	-107.675782469533	-107.675782470784	-107.67573799922	-107.675780787513	1.0750227374956E-9	1.75589320861036E-10	4.44713880369818E-5	1.68309472314832E-6	-107.675782470608	-107.478240739918
1.15	-107.665285629592	-107.665285630918	-107.665233492874	-107.665284130269	1.17290710477391E-9	1.53136170411017E-10	5.21378909184023E-5	1.50049669400687E-6	-107.665285630765	-107.447735747869
1.2	-107.648167391042	-107.648167391419	-107.648094405398	-107.648165595763	1.74864567270561E-10	2.02007299776596E-10	7.29858184769228E-5	1.79545352807509E-6	-107.648167391218	-107.409396700176
1.25	-107.627192003602	-107.627192007651	-107.627103058086	-107.627189025403	3.89464105410298E-9	1.54315671352379E-10	8.89494106246502E-5	2.9820933349356E-6	-107.627192007498	-107.36599520483
1.3	-107.604361521809	-107.604361535903	-107.604249240858	-107.604355106804	1.39760913953069E-8	1.17154286272125E-10	1.1229492719167E-4	6.42898146452353E-6	-107.604361535797	-107.31952109604
1.35	-107.581137606415	-107.581137607222	-107.58098605318	-107.581127420097	6.69771793582186E-10	1.36594735522522E-10	1.51553904828461E-4	1.01869881348193E-5	-107.581137607083	-107.271400251395
1.4	-107.558600992187	-107.558600992332	-107.558412339229	-107.558588670737	1.62287960847607E-11	1.28153487821692E-10	1.8865297418813E-4	1.23214666842841E-5	-107.558600992205	-107.222659357224
