Bond  Step  Rank
1 1 1
2 2 1
3 3 1
4 4 1
5 5 1
6 6 1
7 7 1
8 8 1
9 9 1
10 10 1
11 11 1
12 12 1
13 13 1
14 14 1
15 15 1
16 16 1
17 17 1
18 18 1
19 19 1
18 20 1
17 21 1
16 22 1
15 23 1
14 24 1
13 25 1
12 26 1
11 27 1
10 28 1
9 29 1
8 30 1
7 31 1
6 32 1
5 33 1
4 34 1
3 35 1
2 36 1
1 37 1
2 38 1
3 39 1
4 40 1
5 41 1
6 42 1
7 43 1
8 44 1
10 46 1
13 49 1
14 50 1
15 51 1
16 52 1
17 53 1
18 54 1
19 55 1
18 56 1
17 57 1
16 58 1
15 59 1
14 60 1
12 62 1
8 66 1
7 67 1
6 68 1
5 69 1
4 70 1
3 71 1
2 72 1
1 73 1
2 74 1
3 75 1
4 76 1
5 77 1
6 78 1
7 79 1
9 81 1
14 86 1
15 87 1
16 88 1
17 89 1
18 90 1
19 91 1
18 92 1
17 93 1
16 94 1
15 95 1
14 96 1
9 101 1
8 102 1
7 103 1
6 104 1
5 105 1
4 106 1
3 107 1
2 108 1
1 109 1
2 110 1
3 111 1
4 112 1
5 113 1
6 114 1
7 115 1
8 116 1
9 117 1
10 118 1
11 119 1
12 120 1
14 122 1
15 123 1
16 124 1
17 125 1
18 126 1
19 127 1
18 128 1
17 129 1
16 130 1
15 131 1
14 132 1
11 135 1
10 136 1
9 137 1
8 138 1
7 139 1
6 140 1
5 141 1
4 142 1
3 143 1
2 144 1
1 145 1
2 146 1
3 147 1
4 148 1
5 149 1
6 150 1
7 151 1
8 152 1
9 153 1
10 154 1
11 155 1
14 158 1
15 159 1
16 160 1
17 161 1
18 162 1
19 163 1
18 164 1
17 165 1
16 166 1
15 167 1
14 168 1
11 171 1
10 172 1
9 173 1
8 174 1
7 175 1
6 176 1
5 177 1
4 178 1
3 179 1
2 180 1
1 181 1
2 182 1
3 183 1
4 184 1
5 185 1
6 186 1
7 187 1
8 188 1
9 189 1
10 190 1
11 191 1
12 192 1
14 194 1
15 195 1
16 196 1
17 197 1
18 198 1
19 199 1
18 200 1
17 201 1
16 202 1
15 203 1
14 204 1
12 206 1
11 207 1
10 208 1
9 209 1
8 210 1
7 211 1
6 212 1
5 213 1
4 214 1
3 215 1
2 216 1
1 217 1
2 218 1
3 219 1
4 220 1
5 221 1
6 222 1
7 223 1
8 224 1
9 225 1
10 226 1
11 227 1
12 228 1
13 229 1
14 230 1
15 231 1
16 232 1
17 233 1
18 234 1
19 235 1
18 236 1
17 237 1
16 238 1
15 239 1
14 240 1
13 241 1
12 242 1
10 244 1
9 245 1
8 246 1
7 247 1
6 248 1
5 249 1
4 250 1
3 251 1
2 252 1
1 253 1
2 254 1
3 255 1
4 256 1
5 257 1
6 258 1
8 260 1
9 261 1
10 262 1
11 263 1
12 264 1
13 265 1
14 266 1
15 267 1
16 268 1
17 269 1
18 270 1
19 271 1
18 272 1
17 273 1
16 274 1
15 275 1
14 276 1
13 277 1
12 278 1
9 281 1
8 282 1
6 284 1
5 285 1
4 286 1
3 287 1
2 288 1
1 289 1
2 290 1
3 291 1
4 292 1
5 293 1
6 294 1
8 296 1
9 297 1
10 298 1
12 300 1
14 302 1
15 303 1
16 304 1
17 305 1
18 306 1
19 307 1
18 308 1
17 309 1
16 310 1
15 311 1
14 312 1
12 314 1
11 315 1
9 317 1
8 318 1
6 320 1
5 321 1
4 322 1
3 323 1
2 324 1
1 325 1
2 326 1
3 327 1
4 328 1
5 329 1
6 330 1
8 332 1
9 333 1
11 335 1
12 336 1
13 337 1
14 338 1
15 339 1
16 340 1
17 341 1
18 342 1
19 343 1
18 344 1
17 345 1
16 346 1
15 347 1
14 348 1
13 349 1
12 350 1
11 351 1
9 353 1
8 354 1
7 355 1
6 356 1
5 357 1
4 358 1
3 359 1
2 360 1
1 361 1
2 362 1
3 363 1
4 364 1
5 365 1
6 366 1
7 367 1
8 368 1
9 369 1
11 371 1
13 373 1
14 374 1
15 375 1
16 376 1
17 377 1
18 378 1
19 379 1
18 380 1
17 381 1
16 382 1
15 383 1
14 384 1
13 385 1
11 387 1
9 389 1
7 391 1
6 392 1
5 393 1
4 394 1
3 395 1
2 396 1
1 397 1
2 398 1
3 399 1
4 400 1
5 401 1
6 402 1
7 403 1
8 404 1
9 405 1
13 409 1
14 410 1
15 411 1
16 412 1
17 413 1
18 414 1
19 415 1
18 416 1
17 417 1
16 418 1
15 419 1
14 420 1
13 421 1
12 422 1
7 427 1
6 428 1
5 429 1
4 430 1
3 431 1
2 432 1
1 433 1
2 434 1
3 435 1
4 436 1
5 437 1
6 438 1
7 439 1
8 440 1
9 441 1
10 442 1
12 444 1
13 445 1
14 446 1
15 447 1
16 448 1
17 449 1
18 450 1
19 451 1
18 452 1
17 453 1
16 454 1
15 455 1
