Bond  Step  Rank
1 1 1
2 2 1
3 3 1
4 4 1
5 5 1
6 6 1
7 7 1
8 8 1
10 10 1
11 11 1
12 12 1
13 13 1
14 14 1
15 15 1
14 16 1
13 17 1
12 18 1
11 19 1
10 20 1
8 22 1
6 24 1
5 25 1
4 26 1
3 27 1
2 28 1
1 29 1
2 30 1
3 31 1
4 32 1
5 33 1
6 34 1
7 35 1
10 38 1
11 39 1
12 40 1
13 41 1
14 42 1
15 43 1
14 44 1
13 45 1
12 46 1
11 47 1
10 48 1
6 52 1
5 53 1
4 54 1
3 55 1
2 56 1
1 57 1
2 58 1
3 59 1
4 60 1
5 61 1
6 62 1
7 63 1
8 64 1
10 66 1
11 67 1
12 68 1
13 69 1
14 70 1
15 71 1
14 72 1
13 73 1
12 74 1
11 75 1
10 76 1
9 77 1
6 80 1
5 81 1
4 82 1
3 83 1
2 84 1
1 85 1
2 86 1
3 87 1
4 88 1
5 89 1
6 90 1
9 93 1
10 94 1
11 95 1
12 96 1
13 97 1
14 98 1
15 99 1
14 100 1
13 101 1
12 102 1
11 103 1
10 104 1
9 105 1
8 106 1
6 108 1
5 109 1
4 110 1
3 111 1
2 112 1
1 113 1
2 114 1
3 115 1
4 116 1
5 117 1
6 118 1
7 119 1
9 121 1
10 122 1
11 123 1
12 124 1
13 125 1
14 126 1
15 127 1
14 128 1
13 129 1
12 130 1
11 131 1
10 132 1
9 133 1
8 134 1
7 135 1
6 136 1
5 137 1
4 138 1
3 139 1
2 140 1
1 141 1
2 142 1
3 143 1
4 144 1
5 145 1
6 146 1
7 147 1
8 148 1
9 149 1
10 150 1
11 151 1
12 152 1
13 153 1
14 154 1
15 155 1
14 156 1
13 157 1
12 158 1
11 159 1
10 160 1
9 161 1
8 162 1
7 163 1
6 164 1
5 165 1
4 166 1
3 167 1
2 168 1
1 169 1
2 170 1
3 171 1
4 172 1
5 173 1
6 174 1
7 175 1
8 176 1
9 177 1
10 178 1
11 179 1
12 180 1
13 181 1
14 182 1
15 183 1
14 184 1
13 185 1
12 186 1
11 187 1
10 188 1
9 189 1
8 190 1
7 191 1
6 192 1
5 193 1
4 194 1
3 195 1
2 196 1
1 197 1
2 198 1
3 199 1
4 200 1
5 201 1
6 202 1
7 203 1
8 204 1
9 205 1
10 206 1
11 207 1
12 208 1
13 209 1
14 210 1
15 211 1
14 212 1
13 213 1
12 214 1
11 215 1
10 216 1
9 217 1
8 218 1
7 219 1
6 220 1
5 221 1
4 222 1
3 223 1
2 224 1
1 225 1
2 226 1
3 227 1
4 228 1
5 229 1
6 230 1
7 231 1
8 232 1
9 233 1
10 234 1
11 235 1
12 236 1
13 237 1
14 238 1
15 239 1
14 240 1
13 241 1
12 242 1
11 243 1
10 244 1
9 245 1
8 246 1
7 247 1
6 248 1
5 249 1
4 250 1
3 251 1
2 252 1
1 253 1
2 254 1
3 255 1
4 256 1
5 257 1
6 258 1
7 259 1
8 260 1
9 261 1
10 262 1
11 263 1
12 264 1
13 265 1
14 266 1
15 267 1
14 268 1
13 269 1
12 270 1
11 271 1
10 272 1
9 273 1
8 274 1
7 275 1
6 276 1
5 277 1
4 278 1
3 279 1
2 280 1
1 281 1
2 282 1
3 283 1
4 284 1
5 285 1
6 286 1
7 287 1
8 288 1
9 289 1
10 290 1
11 291 1
12 292 1
13 293 1
14 294 1
15 295 1
14 296 1
13 297 1
12 298 1
11 299 1
10 300 1
9 301 1
8 302 1
7 303 1
6 304 1
5 305 1
4 306 1
3 307 1
2 308 1
1 309 1
2 310 1
3 311 1
4 312 1
5 313 1
6 314 1
7 315 1
8 316 1
9 317 1
10 318 1
11 319 1
12 320 1
13 321 1
14 322 1
15 323 1
14 324 1
13 325 1
12 326 1
11 327 1
10 328 1
9 329 1
8 330 1
7 331 1
6 332 1
5 333 1
4 334 1
3 335 1
2 336 1
1 337 1
2 338 1
3 339 1
4 340 1
5 341 1
6 342 1
7 343 1
8 344 1
9 345 1
10 346 1
11 347 1
12 348 1
13 349 1
14 350 1
15 351 1
14 352 1
13 353 1
12 354 1
11 355 1
10 356 1
9 357 1
8 358 1
7 359 1
6 360 1
5 361 1
4 362 1
3 363 1
2 364 1
1 365 1
2 366 1
3 367 1
4 368 1
5 369 1
6 370 1
7 371 1
8 372 1
9 373 1
10 374 1
11 375 1
12 376 1
13 377 1
14 378 1
15 379 1
14 380 1
13 381 1
12 382 1
11 383 1
10 384 1
9 385 1
8 386 1
7 387 1
6 388 1
5 389 1
4 390 1
3 391 1
2 392 1
1 393 1
2 394 1
3 395 1
4 396 1
5 397 1
6 398 1
7 399 1
8 400 1
9 401 1
10 402 1
11 403 1
12 404 1
13 405 1
14 406 1
15 407 1
14 408 1
13 409 1
12 410 1
11 411 1
10 412 1
9 413 1
8 414 1
7 415 1
6 416 1
5 417 1
4 418 1
